OBJECTID,Org,Location,Site,latitude,longitude,Year,Date,visit_type,NEAR_FID,NEAR_DIST
1,ACCS,Denali,MV,63.43067603,-150.366498,2018,8/18/2018 0:00,i,555,361.7349432
2,ACCS,Hatcher Pass,P003,61.795912,-149.272744,2018,7/9/2018 0:00,i,14273,518.3863424
3,ACCS,Hatcher Pass,P005,61.781319,-149.332478,2018,7/10/2018 0:00,i,14275,1037.908197
4,ACCS,Hatcher Pass,P007,61.771669,-149.307037,2018,7/13/2018 0:00,i,14275,41.36374222
5,ACCS,Hatcher Pass,P008,61.7676149,-149.347223,2018,7/11/2018 0:00,i,14275,356.150249
6,ACCS,Steese,P037,65.500575,-145.33842,2018,7/18/2018 0:00,i,947,1706.016156
7,ACCS,Steese,P038,65.494097,-145.441584,2018,7/20/2018 0:00,i,947,1799.8806
8,ACCS,Steese,P039,65.498644,-145.500423,2018,7/21/2018 0:00,i,947,4244.494248
9,ACCS,Steese,P042,65.483216,-145.401455,2018,7/17/2018 0:00,i,947,243.5579036
10,ACCS,Steese,P051,65.407041,-146.007,2018,7/19/2018 0:00,i,947,1202.489639
11,ACCS,Steese,P060,65.373228,-146.636898,2018,7/23/2018 0:00,i,971,1789.677056
12,ACCS,Paxson,P063,63.49724,-145.80457,2018,8/1/2018 0:00,i,413,2768.307959
13,ACCS,Paxson,P118,63.08574,-146.36537,2018,7/31/2018 0:00,i,489,59.59981517
14,ACCS,Paxson,P128,63.074222,-146.231861,2018,8/3/2018 0:00,i,489,355.6617819
15,ACCS,Denali,P133,63.801632,-148.979144,2018,8/16/2018 0:00,i,519,1131.022909
16,ACCS,Denali,P135,63.748337,-148.872317,2018,8/15/2018 0:00,i,519,1243.053682
17,ACCS,Denali,P138,63.739354,-149.281669,2018,8/21/2018 0:00,i,646,455.4096713
18,ACCS,Denali,P146A,63.43659097,-150.316008,2018,8/19/2018 0:00,i,555,508.1027538
19,ACCS,Steese,P153,65.363468,-146.565185,2018,7/24/2018 0:00,i,971,1321.58596
20,ACCS,Steese,P157,65.394559,-146.010144,2018,7/22/2018 0:00,i,947,413.7853025
21,ACCS,Paxson,P250,63.434519,-150.313772,2018,8/2/2018 0:00,i,555,262.2648681
22,ACCS,Hatcher Pass,P300,61.81248601,-149.2166,2018,8/27/2018 0:00,i,14272,333.3924263
23,ACCS,Southcentral,P301,60.76243596,-148.847649,2018,8/28/2018 0:00,i,95,1061.027059
24,ACCS,Southcentral,P302,61.04757104,-149.596296,2018,8/30/2018 0:00,i,6125,5678.434737
25,ACCS,Southcentral,P303,61.093388,-149.664699,2018,8/31/2018 0:00,i,9120,1450.24358
26,ACCS,Denali,Polychrome,63.53560698,-149.828615,2018,8/20/2018 0:00,i,555,14.02195808
27,ACCS,Hatcher Pass,P002,61.80948,-149.23418,2019,7/16/2019 0:00,i,14272,387.1556919
29,ACCS,Hatcher Pass,P010A,61.76157299,-149.323738,2019,7/31/2019 0:00,i,14275,573.7155536
30,ACCS,Paxson,P092,63.12284192,-146.2469075,2019,7/24/2019 0:00,i,489,3776.675399
31,ACCS,Paxson,P094,63.12132999,-146.18567,2019,7/24/2019 0:00,i,489,4703.941617
32,ACCS,Paxson,P100,63.08387999,-145.63512,2019,8/8/2019 0:00,i,489,684.1042411
33,ACCS,Paxson,P111,63.08770004,-146.3077,2019,7/25/2019 0:00,i,489,329.9641217
34,ACCS,Paxson,P119,63.08487073,-146.3910338,2019,7/25/2019 0:00,i,489,187.2749275
35,ACCS,Denali,P147,63.35586302,-148.376847,2019,8/11/2019 0:00,i,489,1452.170056
36,ACCS,Hatcher Pass,P152A,61.77111,-149.38722,2019,7/15/2019 0:00,i,14275,333.4363861
37,ACCS,Southcentral,P601,62.88168199,-149.688893,2019,7/30/2019 0:00,i,519,2949.193501
38,ACCS,Thompson Pass,P604,61.14130997,-145.75734,2019,8/7/2019 0:00,i,413,627.4726892
39,ACCS,Thompson Pass,P605A,61.15659999,-145.737699,2019,8/7/2019 0:00,i,413,1004.843085
40,ACCS,Paxson,P609,61.78226799,-147.6702842,2019,7/26/2019 0:00,i,367,692.0851759
41,ACCS,Paxson,P612,63.10763698,-146.106103,2019,8/10/2019 0:00,i,489,2889.530915
42,ACCS,Southcentral,P615,61.05958197,-149.115395,2019,7/29/2019 0:00,i,5529,3413.318359
43,ACCS,Southcentral,P616,60.96205727,-149.0798976,2019,7/31/2019 0:00,i,5531,1285.205131
44,ACCS,Southcentral,P617,61.06619303,-149.599522,2019,8/1/2019 0:00,i,6125,4496.837532
45,ACCS,Paxson,P618,63.05550196,-145.587427,2019,8/9/2019 0:00,i,489,693.9399041
46,ACCS,Denali,P619,63.73997597,-149.247713,2019,8/12/2019 0:00,i,555,1955.135139
47,JBER,JBER,JB01,61.14944,-149.547,2019,8/19/2019 0:00,i,9264,7637.207763
48,JBER,JBER,JB02,61.14596,-149.534,2019,8/20/2019 0:00,i,9264,8410.316715
