OID_,Site,Org,Location,latitude,longitude,Year,Date,random_site,occ_status,BUFF_DIST,ORIG_FID,AREA,PERCENTAGE,Shape_Length,Shape_Area
1,P003,ACCS,Hatcher Pass,61.795912000000001,-149.272743999999989,2018,7/9/2018 0:00:00,0,occupied,250.000000000000000,1,151755.050733765994664,77.328757348308599,0.022640731398979,0.000033384343366
2,P005,ACCS,Hatcher Pass,61.781319000000003,-149.332478000000009,2018,7/10/2018 0:00:00,0,occupied,250.000000000000000,2,142154.361669756995980,72.436600200455800,0.022632636449511,0.000033368592830
3,P008,ACCS,Hatcher Pass,61.767614899999998,-149.347223000000014,2018,7/11/2018 0:00:00,0,occupied,250.000000000000000,3,146712.819206442014547,74.759422150802294,0.022625042626661,0.000033353816413
4,P007,ACCS,Hatcher Pass,61.771669000000003,-149.307037000000008,2018,7/13/2018 0:00:00,0,occupied,250.000000000000000,4,146105.064250300987624,74.449732746954993,0.022627288387585,0.000033358186062
5,P042,ACCS,Steese,65.483215999999999,-145.401454999999999,2018,7/17/2018 0:00:00,0,occupied,250.000000000000000,5,13958.868057627099915,7.112922827587830,0.025030701257174,0.000037996528202
6,P037,ACCS,Steese,65.500574999999998,-145.338420000000013,2018,7/18/2018 0:00:00,0,unoccupied,250.000000000000000,6,140356.134107343008509,71.520292413442206,0.025043827566253,0.000038021671515
7,P051,ACCS,Steese,65.407041000000007,-146.007000000000005,2018,7/19/2018 0:00:00,0,occupied,250.000000000000000,7,42373.249336130596930,21.591838852311600,0.024973338542919,0.000037886636510
8,P038,ACCS,Steese,65.494096999999996,-145.441584000000006,2018,7/20/2018 0:00:00,0,unoccupied,250.000000000000000,8,16222.419266094699196,8.266345076655799,0.025038925759996,0.000038012282349
9,P039,ACCS,Steese,65.498643999999999,-145.500423000000012,2018,7/21/2018 0:00:00,0,unoccupied,250.000000000000000,9,4979.864604788600445,2.537554749400860,0.025042366041180,0.000038018872631
10,P157,ACCS,Steese,65.394559000000001,-146.010143999999997,2018,7/22/2018 0:00:00,1,unoccupied,250.000000000000000,10,71475.388690060994122,36.421214606134299,0.024963975555738,0.000037868693344
11,P060,ACCS,Steese,65.373227999999997,-146.636898000000002,2018,7/23/2018 0:00:00,0,occupied,250.000000000000000,11,11920.117122549600026,6.074050584638710,0.024947999781559,0.000037838080226
12,P153,ACCS,Steese,65.363467999999997,-146.565185000000014,2018,7/24/2018 0:00:00,1,unoccupied,250.000000000000000,12,50063.683781621803064,25.510600568400800,0.024940699928428,0.000037824091057
13,P118,ACCS,Paxson,63.085740000000001,-146.365370000000013,2018,7/31/2018 0:00:00,0,occupied,250.000000000000000,13,44550.295102492498700,22.701181719737200,0.023394835937840,0.000034847550224
14,P063,ACCS,Paxson,63.497239999999998,-145.804570000000012,2018,8/1/2018 0:00:00,0,occupied,250.000000000000000,14,30766.625660848400003,15.677534753352100,0.023652547384682,0.000035345817011
15,P250,ACCS,Paxson,63.084754969999999,-146.412712999999997,2018,8/2/2018 0:00:00,1,occupied,250.000000000000000,15,41415.311038991399982,21.103710341018601,0.023394228987301,0.000034846375808
16,P128,ACCS,Paxson,63.074221999999999,-146.231861000000009,2018,8/3/2018 0:00:00,0,occupied,250.000000000000000,16,3830.633111923209981,1.951948963771340,0.023387746964805,0.000034833831233
17,P135,ACCS,Denali,63.748336999999999,-148.872317000000010,2018,8/15/2018 0:00:00,0,occupied,250.000000000000000,17,51105.087287568996544,26.041260772954899,0.023814182675377,0.000035657891219
18,P133,ACCS,Denali,63.801631999999998,-148.979143999999991,2018,8/16/2018 0:00:00,0,occupied,250.000000000000000,18,85521.628400411893381,43.578656910250203,0.023848928285183,0.000035724931651
19,MV,ACCS,Denali,63.430676030000001,-150.366498000000007,2018,8/18/2018 0:00:00,0,occupied,250.000000000000000,19,120552.905659608994029,61.429297907238102,0.023610263532278,0.000035264124632
20,P146A,ACCS,Denali,63.436590969999997,-150.316008000000011,2018,8/19/2018 0:00:00,0,occupied,250.000000000000000,20,0.000000000000000,0.000000000000000,0.023614011317531,0.000035271364858
21,Polychrome,ACCS,Denali,63.535606979999997,-149.828615000000013,2018,8/20/2018 0:00:00,0,occupied,250.000000000000000,21,56635.421770789602306,28.859315116063499,0.023677026766095,0.000035393101463
22,P138,ACCS,Denali,63.739353999999999,-149.281668999999994,2018,8/21/2018 0:00:00,0,occupied,250.000000000000000,22,83935.178177963593043,42.770259519576101,0.023808341917926,0.000035646619474
23,P300,ACCS,Hatcher Pass,61.812486010000001,-149.216600000000000,2018,8/27/2018 0:00:00,0,occupied,250.000000000000000,23,152390.739338446001057,77.652682072995006,0.022649936100620,0.000033402252985
24,P301,ACCS,Southcentral,60.762435959999998,-148.847648999999990,2018,8/28/2018 0:00:00,1,unoccupied,250.000000000000000,24,47902.630188261602598,24.409406491446099,0.022089634823036,0.000032309778693
25,P302,ACCS,Southcentral,61.047571040000001,-149.596295999999995,2018,8/30/2018 0:00:00,1,occupied,250.000000000000000,25,62830.017860934698547,32.015851214882900,0.022237299635821,0.000032598164858
26,P303,ACCS,Southcentral,61.093387999999997,-149.664699000000013,2018,8/31/2018 0:00:00,1,unoccupied,250.000000000000000,26,58954.860887701601314,30.041216658101899,0.022261330403244,0.000032645062823
27,P152A,ACCS,Hatcher Pass,61.771110000000000,-149.387220000000013,2019,7/15/2019 0:00:00,1,occupied,250.000000000000000,27,107943.075776031997520,55.003796959467202,0.022626978495107,0.000033357582855
28,P002,ACCS,Hatcher Pass,61.809480000000001,-149.234180000000009,2019,7/16/2019 0:00:00,0,occupied,250.000000000000000,28,57712.446958146399993,29.408127173994298,0.022648265892723,0.000033399003378
29,P092,ACCS,Paxson,63.122841919999999,-146.246907499999992,2019,7/24/2019 0:00:00,0,occupied,250.000000000000000,29,59323.923755987998447,30.229274823268099,0.023417715240688,0.000034891822199
30,P094,ACCS,Paxson,63.121329990000000,-146.185669999999988,2019,7/24/2019 0:00:00,0,occupied,250.000000000000000,30,0.000000000000000,0.000000000000000,0.023416781189215,0.000034890015123
31,P119,ACCS,Paxson,63.084870729999999,-146.391033800000002,2019,7/25/2019 0:00:00,0,occupied,250.000000000000000,31,20044.789035558598698,10.214082883688899,0.023394300564020,0.000034846513898
32,P111,ACCS,Paxson,63.087700040000001,-146.307700000000011,2019,7/25/2019 0:00:00,0,occupied,250.000000000000000,32,2433.904385174059826,1.240227672406910,0.023396042132090,0.000034849883845
33,P609,ACCS,Paxson,61.782267990000001,-147.670284199999998,2019,7/26/2019 0:00:00,1,occupied,250.000000000000000,33,37154.075556465402769,18.932341668446600,0.022633162360062,0.000033369616575
34,P615,ACCS,Southcentral,61.059581970000004,-149.115395000000007,2019,7/29/2019 0:00:00,1,unoccupied,250.000000000000000,34,0.000000000000000,0.000000000000000,0.022243591105535,0.000032610444463
35,P601,ACCS,Southcentral,62.881681989999997,-149.688893000000007,2019,7/30/2019 0:00:00,1,occupied,250.000000000000000,35,20521.523444321501302,10.457009066396401,0.023270237543648,0.000034606332122
36,P010A,ACCS,Hatcher Pass,61.761572989999998,-149.323737999999992,2019,7/31/2019 0:00:00,0,unoccupied,250.000000000000000,36,113972.560446037998190,58.076196454162400,0.022621697230612,0.000033347307660
37,P616,ACCS,Southcentral,60.962057270000003,-149.079897600000010,2019,7/31/2019 0:00:00,0,unoccupied,250.000000000000000,37,63533.049240529297094,32.374090998414800,0.022192673344446,0.000032511046573
38,P617,ACCS,Southcentral,61.066193030000001,-149.599522000000007,2019,8/1/2019 0:00:00,1,occupied,250.000000000000000,38,4276.230286929409885,2.179008692475840,0.022247056740411,0.000032617207594
39,P604,ACCS,Thompson Pass,61.141309970000002,-145.757339999999999,2019,8/7/2019 0:00:00,1,occupied,250.000000000000000,39,88109.449741090997122,44.897319156349297,0.022286556500669,0.000032694285030
40,P605A,ACCS,Thompson Pass,61.156599989999997,-145.737698999999992,2019,8/7/2019 0:00:00,1,occupied,250.000000000000000,40,149764.195021694002207,76.314297029201995,0.022294625279217,0.000032710027248
41,P100,ACCS,Paxson,63.083879990000000,-145.635120000000001,2019,8/8/2019 0:00:00,0,occupied,250.000000000000000,41,135179.786047637986485,68.882618245113605,0.023393690266890,0.000034845333403
42,P618,ACCS,Paxson,63.055501960000001,-145.587426999999991,2019,8/9/2019 0:00:00,1,occupied,250.000000000000000,42,158246.632171445002314,80.636629804907997,0.023376240849375,0.000034811563453
43,P612,ACCS,Paxson,63.107636980000002,-146.106102999999990,2019,8/10/2019 0:00:00,1,occupied,250.000000000000000,43,106658.915673604002222,54.349437085697701,0.023408329878082,0.000034873662028
44,P147,ACCS,Denali,63.355863020000001,-148.376846999999998,2019,8/11/2019 0:00:00,0,occupied,250.000000000000000,44,68099.305262950307224,34.700885877321603,0.023563016475760,0.000035172814956
45,P619,ACCS,Denali,63.739975970000003,-149.247713000000005,2019,8/12/2019 0:00:00,1,occupied,250.000000000000000,45,3644.968273336110087,1.857341013009960,0.023808745438597,0.000035647397416
46,JB01,JBER,JBER,61.149439999999998,-149.546999999999997,2019,8/19/2019 0:00:00,0,occupied,250.000000000000000,46,30704.062623866899230,15.645654318062199,0.022290846128716,0.000032702654757
47,JB02,JBER,JBER,61.145960000000002,-149.533999999999992,2019,8/20/2019 0:00:00,0,occupied,250.000000000000000,47,65847.669346340393531,33.553535701644698,0.022289010112361,0.000032699072671
