Site,Org,Location,latitude,longitude,Year,Date,random_site,occ.status
P003,ACCS,Hatcher Pass,61.795912,-149.272744,2018,7/9/2018,0,occupied
P005,ACCS,Hatcher Pass,61.781319,-149.332478,2018,7/10/2018,0,occupied
P008,ACCS,Hatcher Pass,61.7676149,-149.347223,2018,7/11/2018,0,occupied
P007,ACCS,Hatcher Pass,61.771669,-149.307037,2018,7/13/2018,0,occupied
P042,ACCS,Steese,65.483216,-145.401455,2018,7/17/2018,0,occupied
P037,ACCS,Steese,65.500575,-145.33842,2018,7/18/2018,0,unoccupied
P051,ACCS,Steese,65.407041,-146.007,2018,7/19/2018,0,occupied
P038,ACCS,Steese,65.494097,-145.441584,2018,7/20/2018,0,unoccupied
P039,ACCS,Steese,65.498644,-145.500423,2018,7/21/2018,0,unoccupied
P157,ACCS,Steese,65.394559,-146.010144,2018,7/22/2018,1,unoccupied
P060,ACCS,Steese,65.373228,-146.636898,2018,7/23/2018,0,occupied
P153,ACCS,Steese,65.363468,-146.565185,2018,7/24/2018,1,unoccupied
P118,ACCS,Paxson,63.08574,-146.36537,2018,7/31/2018,0,occupied
P063,ACCS,Paxson,63.49724,-145.80457,2018,8/1/2018,0,occupied
P250,ACCS,Paxson,63.08475497,-146.412713,2018,8/2/2018,1,occupied
P128,ACCS,Paxson,63.074222,-146.231861,2018,8/3/2018,0,occupied
P135,ACCS,Denali,63.748337,-148.872317,2018,8/15/2018,0,occupied
P133,ACCS,Denali,63.801632,-148.979144,2018,8/16/2018,0,occupied
MV,ACCS,Denali,63.43067603,-150.366498,2018,8/18/2018,0,occupied
P146A,ACCS,Denali,63.43659097,-150.316008,2018,8/19/2018,0,occupied
Polychrome,ACCS,Denali,63.53560698,-149.828615,2018,8/20/2018,0,occupied
P138,ACCS,Denali,63.739354,-149.281669,2018,8/21/2018,0,occupied
P300,ACCS,Hatcher Pass,61.81248601,-149.2166,2018,8/27/2018,0,occupied
P301,ACCS,Southcentral,60.76243596,-148.847649,2018,8/28/2018,1,unoccupied
P302,ACCS,Southcentral,61.04757104,-149.596296,2018,8/30/2018,1,occupied
P303,ACCS,Southcentral,61.093388,-149.664699,2018,8/31/2018,1,unoccupied
P152A,ACCS,Hatcher Pass,61.77111,-149.38722,2019,7/15/2019,1,occupied
P002,ACCS,Hatcher Pass,61.80948,-149.23418,2019,7/16/2019,0,occupied
P092,ACCS,Paxson,63.12284192,-146.2469075,2019,7/24/2019,0,occupied
P094,ACCS,Paxson,63.12132999,-146.18567,2019,7/24/2019,0,occupied
P119,ACCS,Paxson,63.08487073,-146.3910338,2019,7/25/2019,0,occupied
P111,ACCS,Paxson,63.08770004,-146.3077,2019,7/25/2019,0,occupied
P609,ACCS,Paxson,61.78226799,-147.6702842,2019,7/26/2019,1,occupied
P615,ACCS,Southcentral,61.05958197,-149.115395,2019,7/29/2019,1,unoccupied
P601,ACCS,Southcentral,62.88168199,-149.688893,2019,7/30/2019,1,occupied
P010A,ACCS,Hatcher Pass,61.76157299,-149.323738,2019,7/31/2019,0,unoccupied
P616,ACCS,Southcentral,60.96205727,-149.0798976,2019,7/31/2019,0,unoccupied
P617,ACCS,Southcentral,61.06619303,-149.599522,2019,8/1/2019,1,occupied
P604,ACCS,Thompson Pass,61.14130997,-145.75734,2019,8/7/2019,1,occupied
P605A,ACCS,Thompson Pass,61.15659999,-145.737699,2019,8/7/2019,1,occupied
P100,ACCS,Paxson,63.08387999,-145.63512,2019,8/8/2019,0,occupied
P618,ACCS,Paxson,63.05550196,-145.587427,2019,8/9/2019,1,occupied
P612,ACCS,Paxson,63.10763698,-146.106103,2019,8/10/2019,1,occupied
P147,ACCS,Denali,63.35586302,-148.376847,2019,8/11/2019,0,occupied
P619,ACCS,Denali,63.73997597,-149.247713,2019,8/12/2019,1,occupied
JB01,JBER,JBER,61.14944,-149.547,2019,8/19/2019,0,occupied
JB02,JBER,JBER,61.14596,-149.534,2019,8/20/2019,0,occupied
