"","Site","Org","Location","latitude","longitude","Year","Date","random_site","occ.status","tempc","windms","day.of.year","dist.road","lowshrub","tallshrub","talus","eds","random_sit","occ_status","aspect","wetness","elevation","slope","roughness","exposure","heatload","relief","position","radiation","evi2","nbr","ndmi","ndsi","ndvi","ndwi","precip","summerWarmth","januaryMinTemp","logs","vegclass","veg.height","lowshrub.cover","shrubCover","aspectRad","northness","eastness"
"1","P003","ACCS","Hatcher Pass",61.795912,-149.272744,2018,2018-07-09,0,1,8.27777777777778,1.92221725525257,190,518.3863424,"NA","NA",28,37.7619047619048,0,"occupied",219,635,1144,17,321,1354,1143,4872,-63,949,-149932,1729532,897611,-934992,1758481,-1649046,1443,37,-13,165,"eds",0,10,77.3287573483086,3.82227106186758,-0.777145961456971,-0.629320391049838
"2","P005","ACCS","Hatcher Pass",61.781319,-149.332478,2018,2018-07-10,0,1,10,1.29637907912383,191,1037.908197,"NA","NA",20,37.7619047619048,0,"occupied",130,538,1224,33,1002,1369,1083,4992,71,556,-166475,1782963,813267,-1363858,1979111,-1899458,1443,33,-11,167,"eds",0.35,26.6666666666667,72.4366002004558,2.26892802759263,-0.642787609686539,0.766044443118978
"3","P008","ACCS","Hatcher Pass",61.7676149,-149.347223,2018,2018-07-11,0,1,6.66666666666667,2.10102816271793,192,356.150249,"NA","NA",12,37.7619047619048,0,"occupied",203,618,1071,18,368,1299,1107,4756,-43,714,-229751,2071133,1035840,-1182681,2115914,-1956151,1336,31,-10,166,"eds",0.3,48.5,74.7594221508023,3.54301838154849,-0.92050485345244,-0.390731128489274
"4","P007","ACCS","Hatcher Pass",61.771669,-149.307037,2018,2018-07-13,0,1,10.5555555555556,1.07286544479213,194,41.36374222,"NA","NA",17,37.7619047619048,0,"occupied",130,606,1183,26,672,956,1037,4853,62,502,-190922,2014006,1089815,-947938,1964944,-1820444,1425,34,-11,167,"eds",0.213233333333333,30.6666666666667,74.449732746955,2.26892802759263,-0.642787609686539,0.766044443118978
"5","P042","ACCS","Steese",65.483216,-145.401455,2018,2018-07-17,0,1,7,5.4,198,243.5579036,"1","NA",7,10,0,"occupied",272,651,1142,14,151,128,10580,4980,112,711,57110,1120426,55936,-1846847,1748503,-1855900,556,44,-19,160,"dds",0.08,0,7.11292282758783,4.74729556542458,0.0348994967025013,-0.999390827019096
"6","P037","ACCS","Steese",65.500575,-145.33842,2018,2018-07-18,0,0,17.7,0.8,199,1706.016156,"NA","NA",1,7.5,0,"unoccupied",118,643,950,19,236,524,9255,5023,24,482,-120198,1663742,431859,-2041268,2366503,-2282097,517,46,-19,163,"ls",0.025,37.5,71.5202924134422,2.05948851735331,-0.469471562785891,0.882947592858927
"7","P051","ACCS","Steese",65.407041,-146.007,2018,2018-07-19,0,1,9.5,5.1,200,1202.489639,"5","NA",75,15,0,"occupied",196,576,1222,16,207,1023,10620,5088,207,739,23811,833320,-144125,-1912464,1664652,-1728258,565,43,-19,156,"dds",0.0462,7.33,21.5918388523116,3.42084533390889,-0.961261695938319,-0.275637355816999
"8","P038","ACCS","Steese",65.494097,-145.441584,2018,2018-07-20,0,0,10.3,3.9,201,1799.8806,"2","NA",30,42.5,0,"unoccupied",267,675,1134,15,155,-1370,8652,5106,98,110,-14155,1365270,311280,-1383451,1676210,-1681127,571,43,-19,160,"dds",0.0462,7.33,8.2663450766558,4.66002910282486,-0.0523359562429443,-0.998629534754574
"9","P039","ACCS","Steese",65.498644,-145.500423,2018,2018-07-21,0,0,16.3,1.7,202,4244.494248,"1","NA",25,75,0,"unoccupied",313,654,1014,20,290,-1288,9546,5102,-54,307,-1008,1304543,210843,-1478609,1630727,-1654338,591,43,-19,160,"eds",0.04,1,2.53755474940086,5.46288055874225,0.681998360062498,-0.731353701619171
"10","P060","ACCS","Steese",65.373228,-146.636898,2018,2018-07-23,0,1,25.8,1.3,204,1789.677056,"2","NA",15,20,0,"occupied",214,557,1069,17,228,-595,9301,5329,184,441,-8340,999081,-33544,-1733375,1632651,-1635341,536,46,-20,165,"dds",0.04,1,6.07405058463871,3.73500459926787,-0.829037572555042,-0.559192903470747
"11","P118","ACCS","Paxson",63.08574,-146.36537,2018,2018-07-31,0,1,25.7777777777778,1.20697362539115,212,59.59981517,"2","NA",60,85,0,"occupied",185,694,1259,12,114,-1123,11966,4924,49,85,-92211,1574657,786600,-449048,1195796,-1131480,776,40,-19,153,"eds",0.08,1,22.7011817197372,3.22885911618951,-0.996194698091746,-0.0871557427476579
"12","P063","ACCS","Paxson",63.49724,-145.80457,2018,2018-08-01,0,1,19.0555555555556,1.56459544032186,213,2768.307959,"30","NA",10,35,0,"occupied",256,526,1127,30,741,289,10793,4889,-13,627,20969,682634,-215937,-1209561,902405,-964661,961,42,-20,155,"eds",0.099,11.5,15.6775347533521,4.46804288510548,-0.241921895599668,-0.970295726275996
"13","P128","ACCS","Paxson",63.074222,-146.231861,2018,2018-08-03,0,1,13,0.40232454179705,215,355.6617819,"NA","NA",19,37.7619047619048,0,"occupied",43,654,1215,22,384,-1818,11369,4789,47,24,-93434,667112,123409,-585965,797076,-675698,825,40,-20,155,"eds",0,0,1.95194896377134,0.750491578357562,0.731353701619171,0.681998360062498
"14","P135","ACCS","Denali",63.748337,-148.872317,2018,2018-08-15,0,1,14.4,0,227,1243.053682,"60","NA",25,40,0,"occupied",235,499,897,27,543,759,1202,5088,133,704,-262837,1627020,556209,-1728864,2246482,-2018065,424,47,-19,166,"eds",0.06,35,26.0412607729549,4.10152374218667,-0.573576436351046,-0.819152044288992
"15","P133","ACCS","Denali",63.801632,-148.979144,2018,2018-08-16,0,1,8.7,0.804649083594099,228,1131.022909,"NA","NA",11,10,0,"occupied",87,526,929,25,459,-582,740,5061,88,279,-198881,1598718,585023,-1620991,2046583,-1883075,433,52,-18,168,"dds",0.05,0,43.5786569102502,1.51843644923507,0.052335956242944,0.998629534754574
