"","Site","Year","BUFF_DIST","ORIG_FID","Shape_Leng","Shape_Area","aspect","wetness","elevation","slope","roughness","exposure","heatload","relief","position","radiation","evi2","ndvi","precip","summerWarmth","januaryMinTemp","novemberMinTemp","logs","ftc","snowDepth","snowMeltCycles"
"1","P301",2018,50,1,1103.82876973,80187.4276383,116,691.1,106.3,21.1,527.5,509.5,873,4539.3,-323.9,434.6,0,1.4,2834.5,55.4,-5.6,-4,224,15,0.7,4
"2","P300",2018,50,2,1826.15115642,162755.558394,168.6,539.8,977.4,32,853.4,2377.6,1408.1,4858.5,-90.2,791.1,0,2.2,1189,40,-13,-11,171,9,1,1.1
"3","P146",2018,50,3,1831.70383864,124857.255348,176.6,500,1375.7,24.8,523.2,1729.8,1202.2,5041.3,201,727.9,0,0.6,895,35,-17,-14,157,9,0.9,2
"4","P003",2018,50,4,1833.60754454,153774.1131,217.9,575.3,1164,22.3,496.7,1876.6,1294.8,4787.8,-43.3,955.1,0,1.5,1443,37,-13,-11,165,11.1,1,0
"5","P157",2018,50,5,1941.9657478,214514.624718,133.9,582.6,1009.3,14.6,177.2,260.9,9192.6,5209.4,47,516,0,1.6,567.2,43.4,-19,-17,156.7,7,0.5,0
"6","P153",2018,50,6,805.778608192,43692.0820223,280.2,585.6,1021.2,12.6,111,-690.6,9706.3,5199.6,97.2,379,0,0.7,545,42,-20,-17,161,9,0.5,0
"7","P051",2018,50,7,1392.3550895,121329.725556,182.3,566.7,1216.8,19.1,267.4,1462.8,10853.4,5024.2,202.2,809.1,0,1.1,565.4,43.2,-19,-17,155.6,7,0.5,1
"8","P060",2018,50,8,2497.40562036,144135.505776,214,542.5,1057.6,18.9,290.1,-965.4,8912.2,5226.7,172.2,381.3,0,1,536,46,-20,-17,165,8.3,0.5,0
"9","P063",2018,50,9,880.018007798,44485.3243688,287.4,501,1027.5,23.9,483.2,-1013.8,11579.9,5226.9,-37,440,0,2.2,928,43,-20,-16,158,11.4,0.7,0
"10","P135",2018,50,10,1083.01504418,67385.0476678,219.4,516.6,898.7,24.5,441.6,1583.2,1253,5050,141.8,875.8,0,2.1,424,47,-19,-15,166,11.5,0.6,1
"11","P005",2018,50,11,1076.33729255,76808.6581798,121.5,580.6,1184.6,32.4,1070.8,1210.2,1046.3,4765.2,37.8,513.6,0,1.4,1443,33,-11,-9,167,8.4,1,0
"12","P007",2018,50,12,1421.87921569,101968.066276,136.2,616.3,1165.5,25.8,610.1,1482.4,1077.6,4693.9,43.9,635.2,0,2.1,1420.5,34.5,-11.3,-9.3,167.3,10,0.9,0
"13","Polychrome",2018,50,13,1499.37393721,57682.5575405,179.5,475.2,1118.2,23.9,434.5,927.6,1120.9,4824.7,62.5,678.7,0,0.9,674,36,-18,-14,154,10,0.7,4
"14","P303",2018,50,14,1431.17949515,114912.551345,34.2,608.2,815,27.4,630.9,-2472.9,539.7,4839.9,83.3,9.2,0,1.4,764.8,44.7,-7.3,-6,186,10.9,1.1,0
"15","P302",2018,50,15,1183.17940079,94576.6328221,219.7,707.2,1005.5,23.1,417.2,1973.8,1279.6,4812.4,-41.7,976.9,0,0.6,1042.5,33.4,-7,-6,175.3,11,1.6,0
"16","P250",2018,50,16,1500.59121771,125022.861047,231.7,576.7,1303.6,14.2,164.6,4.5,11456,5019.7,134.5,558.1,0,1,760,41,-19,-15,154,16.7,0.8,0
"17","P138",2018,50,17,2118.31052508,202224.764723,251.1,506.7,1006.2,24.3,459,589.6,1203.9,5065.5,-31.9,711.4,0,1.5,529.8,42.7,-19,-15,158.6,9,0.7,5.9
"18","P133",2018,50,18,1112.78139235,79109.8093193,126.5,472.4,983.7,23.9,425,-842.7,776,5118.2,129.8,300.8,0,1.3,449.7,51,-18,-15,166,11,0.4,3
"19","P039",2018,50,19,1486.72433458,127349.271213,286.3,677.9,997.9,19.5,292.7,-1571.8,8885.7,4947.7,-73.9,227.9,0,1,592.8,42.7,-19,-17,159.7,6.1,0.5,0
"20","P038",2018,50,20,1887.33032721,205002.385004,232.9,661.4,1144.1,13.7,134,-1251.1,8567.9,5129.8,108.1,99.6,0,1.1,571,43,-19,-17,160,6,0.4,0
"21","P037",2018,50,21,571.777788186,24345.0328697,40.9,553.5,1009.7,15.9,172.1,-1357.5,7593.2,4920,83.3,40.5,0,1.8,517,46,-19,-16,163,6,0.4,0
"22","MV",2018,50,22,1292.34751275,85209.4640956,195.2,487.5,1127,17.7,239.1,468,993.5,5150,97.3,623.3,0,1.9,877.9,37.3,-17,-14,160.3,8,0.8,5
"23","P042",2018,50,23,1540.46406044,145802.775331,284.7,593.9,1172.9,17.3,210.7,-170.2,10522.6,5069.5,141.8,625.5,0,0.8,556.1,44,-19,-17,160,7,0.5,0
"24","P008",2018,50,24,1444.54396616,100141.64593,165.3,678.6,1082.6,22.7,507.4,1916.8,1204.6,4334.7,-26.6,812.5,0,2.2,1331.3,31,-10,-8,165,9,1,0
"25","P118",2018,50,25,1657.46207087,182375.703108,192.6,651.9,1278.4,13.3,133.2,-1203.1,12040.1,5019.1,68.4,112.5,0,0.9,776,40,-19,-15,153,17,0.8,0
"26","P128",2018,50,26,2103.03276807,299942.762956,44.6,633.4,1240.1,23.2,414,-1842.5,11487.8,4858,72.1,33.6,0,0.4,824.7,40,-20,-15,155,16.8,0.8,0
"27","P002",2019,50,27,2650.83273185,409524.451183,74.2,644.6,927.5,21.2,411.8,-1334.3,616.6,4851.4,-176.1,147.8,0,0.8,1466,41,-13,-11,170,9,1,0
"28","P010",2019,50,28,1174.16799877,54045.2856671,252.3,501.9,1232.5,26.8,636.5,701.3,1284.9,4871.4,91.9,786.7,0,1.9,1412,34,-11,-9,172,10,0.9,0
"29","P092",2019,50,29,1740.14739501,140829.506705,269.6,681.6,1204.1,20.1,330.3,380.4,10634.8,4906.3,-106.7,744.3,0,1,990.6,37.8,-20,-15.2,152.5,14.9,0.8,0
"30","P094",2019,50,30,1759.19356875,167688.703956,243.5,592.2,1382.6,20.5,371.9,515.7,10759,5005.4,-13.2,737.2,0,0.1,1170.8,36.4,-20,-16,150.8,19,0.9,1
"31","P100",2019,50,31,1108.66685314,66904.2483134,163.3,604.7,1093.6,29,722.2,-489.7,12024.5,4826.2,9.5,332.9,0,1.9,819,41,-20,-16,155,16,0.7,0
"32","P111",2019,50,32,1355.7935437,122387.892049,285.4,631.7,1277.9,18,237.6,-1468.3,12378.6,4983.4,77.4,201.3,0,0.6,839.4,40,-19.8,-15,154.8,17.2,0.8,0
"33","P119",2019,50,33,3033.70576803,504704.778263,77.8,649.9,1320.6,16.3,191,-1517.6,12062.6,4981.2,116.9,93.7,0,0.7,766.5,40.6,-19,-15,153.6,15.4,0.8,0
"34","P147",2019,50,34,1795.55576519,154871.503443,36.6,645,1001.5,25,575.6,-2348.6,579.8,4759.6,-29,19.3,0,1.6,522,41,-18,-17,154,13,0.6,0
"35","P152",2019,50,35,1905.28858847,156730.143809,295.2,604.7,968.5,24.4,539.8,-650.7,1184.9,4785.9,-59,538.1,0,1.6,1316,32,-10,-8,167,8,0.9,0
"36","P601",2019,50,36,1160.22955713,82023.6620407,283.7,546.5,877,21.7,407,-711.1,996.5,5006.7,58,384.3,0,1.3,1073,48,-16,-12,177,9,0.8,0
